,Medium,Frequency
0,etching,4397
1,engraving,3038
2,wood,2720
3,earthenware,2402
4,illustrations,2351
5,silver,2254
6,carved,2108
7,glass,1990
8,stucco,1732
9,gold,1594
10,ink,1582
11,painted,1524
12,white,1146
13,printed,1143
14,copper,1104
15,steel,1101
16,glaze,1044
17,préaud,1044
18,woodcut,1018
19,paper,999
20,silk,973
21,brass,959
22,paint,891
23,opaque,850
24,porcelain,845
25,lithography,834
26,slip,789
27,second,725
28,process,679
29,under,664
30,book,650
31,glazed,629
32,pressed,610
33,mahogany,601
34,watercolor,591
35,first,583
36,incised,577
37,ivory,559
38,stonepaste,548
39,decoration,547
40,lithograph,528
41,in,525
42,metal,512
43,transparent,487
44,cotton,467
45,hand-colored,455
46,engraved,447
47,three,439
48,alloy,421
49,enamel,420
50,blown,417
51,inlaid,414
52,commercial,408
53,pine,400
54,bronze,394
55,color,393
56,black,389
57,bone,386
58,hollstein,379
59,iron,378
60,leather,374
61,pochoir,371
62,linen,361
63,polychrome,334
64,wool,331
65,colorless,330
66,maple,325
67,brown,312
68,third,301
69,gilt,300
70,yellow,294
71,palm,279
72,photomechanical,278
73,gray,271
74,sago,266
75,wash,261
76,walnut,251
77,limestone,250
78,unglazed,248
79,molded,246
80,blue,234
81,thread,232
82,aquatint,226
83,parian,226
84,red,225
85,pewter,223
86,dark,216
87,poplar,215
88,fiber,211
89,embroidered,210
90,print,209
91,inscription,209
92,luster-painted,208
93,marble,201
